,names,keyword,prices,urls,images,ments
0,제이숲 실크케라틴 단백질 샴푸 1000g 1개,샴푸,20800,https://link.coupang.com/a/MFoke,thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5891976117176072-8105b91f-dfad-4e4d-8483-4b246e2f94f5.jpg,"제이숲 실크케라틴 단백질 샴푸 1000g 1개솔직후기
#아기화장품추천</d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데...
그냥 먹는게 아니라 진짜로 맛있는거 같아요.
그래서 이번에 또 먹어봤는데 역시나 달달한 맛이였어요!
그리고 그 위에 크림치즈도 같이 올려져 있어서 정말 좋았답니다.
저는 요렇게 치즈를 다 먹을 수 있는건 아니지만.ᄏᄒ 
저희는 이렇게 크림을 하나 더 주문했어요.
제가 먹은 건데...!??
사실 이건 처음이었거든요
근데, 사실, 제 입맛에는 딱 맞는 것 같더라구요.^^ ;;)
하지만 맛은 좀 달랐네요,
진짜 완전 꿀조합이에요?
이게 바로 ``바닐라칩 바닐라빈스<unk>><>
바로 시럽에 찍어먹으면 되니까~ 그래서 그런지 약간 느끼하지 않고 담백하고"
1,케라시스 러블리 앤 로맨틱 퍼퓸샴푸 꽃향 980ml 3개,샴푸,14370,https://link.coupang.com/a/MFolb,thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8502599712810440-ecd72508-a66d-4424-a69c-88aa29a73856.jpg,"케라시스 러블리 앤 로맨틱 퍼퓸샴푸 꽃향 980ml 3개솔직후기
#꽃스타그램 <unk>beauty_korea</d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데...
그래서 이번에 먹어봤는데 역시나 달달한 맛이였어요!
그리고 또 다른건 바로 딸기잼!ᄏᄒ 
딸기쨈도 정말 잘 어울리고~^^ ;;)
크림치즈케이크가 들어있는 크림칩과 함께 먹으면 더더욱 맛있는거 같아요.
저는 딸기를 좋아해서 그런지 초콜릿에 많이 찍어먹고 있었거든요
그런데 이렇게 크림이 들어간게 진짜 신기했네용.ㅠㅠㅜㅜ 그래서 같이 먹기 좋은 크기로 잘라주셨답니다 ~^-ᅲ -
저희는 젤로 만든 마카롱으로 주문했어요.
마카로니맛 쿠키를 시켰는데, 그 안에 코코넛오일이"
2,부케가르니 나드 샴푸 시그니처 1000ml 2개,샴푸,19900,https://link.coupang.com/a/MFome,thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8227287742821532-63e00eea-378a-4e5b-a5fa-965a29ffed53.jpg,"부케가르니 나드 샴푸 시그니처 1000ml 2개솔직후기
#일상스타그램</d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데...
그래서 이번에 먹어봤는데 역시나 달달한 맛이였어요!
그리고 그 위에 치즈도 같이 올려져 있어서 정말 좋았답니다.
치즈가 진짜 잘 어울려서 그런지 더더욱 좋아요.
저는 개인적으로 크림파우니를 주문했어요.
크림파이프는 처음엔 조금 느끼했는데.ᄏ; 그리고 크림이 엄청 많이 들어가서 씹히는 식감이 참 좋은 것 같아요
아무래도 파운드 케이크가 생각보다 많아서 그런가 좀 아쉬웠지만 그래도 맛은 있었구요,
먹고 난 후로 계속 먹는 편이라 만족스러웠던 기억에요.^^ 
다음에는 또 다른 메뉴를 먹을까 고민중이에용~!ᄒᄉ<<unk> -
오늘의 포스팅은, 바로 ‘과자를 드"
3,케라시스 엘레강스 앤 센슈얼 퍼퓸 샴푸 980ml 3개,샴푸,12140,https://link.coupang.com/a/MFomY,thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8477013381911975-965b04ee-2104-4bd6-8e63-e34c8e8da1c2.jpg,"케라시스 엘레강스 앤 센슈얼 퍼퓸 샴푸 980ml 3개솔직후기
#아기화장품추천템<unk></d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데...
그냥 먹는게 아니라 진짜 맛있는거 같아요.
그래서 이번에 또 먹어봤는데 역시나 달달한 맛이였어요!
그리고 그 위에 크림치즈도 같이 올려져 있어서 정말 좋았답니다.
크림 치즈는 바삭바득 씹히는 식감이 좋아서
먹다가 먹으면 더 고소하고 담백하게 먹을 수 있었답니다!ᄒᄏ 
저는 개인적으로 크림을 많이 안좋아서 그런지 잘 못먹는 편인데...ㅠㅠ 그래서 이렇게 드시면 좋을 것 같더라고요
제가 먹은건 바로 딸기잼이었거든요.^^ ;;)
딸기는 원래 딸기가 제일 먼저 들어간다고 하잖습니까?
하지만 요즘에는 이런걸로 만들어 먹기도 하고~."
4,제이숲 딥그린제이 아로마 약산성 비건 샴푸 프렌치 라벤더향 1000ml 2개,샴푸,29900,https://link.coupang.com/a/MFonV,thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1087997300641384-8f5a8f57-232e-49eb-b53a-ad5720c8d990.jpg,"제이숲 딥그린제이 아로마 약산성 비건 샴푸 프렌치 라벤더향 1000ml 2개솔직후기
#아기화장품추천</d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데요.
제가 먹은 건데도 불구하고 정말 맛있는 것 같아요
저는 이거 좋아해서 먹어봤는데요,
진짜 진짜 잘먹고 있었어요!
그리고 또 다른 포스팅! :: ``<unk>, 그게 바로...
그래서 이렇게 먹을 수 있는 거구나~^^ 
저희는 요렇게 먹기 시작했답니다.
근데, 이건 좀 더 달달한 맛이 나서
다음에 다시 한번 드셔보려고 해요.
오늘의 주인공은...ᄏ.ᄒ; ;)
바로 여기까지 왔으니까요,,......??
여기는 뭐가 제일 좋은지 모르겠지만....ㅠㅠ.ᅲᅮㅜㅜ 그래서 조금 아쉬웠는데, 그래도 역시나 다들 열심히 먹는 모습이었네"
5,닥터포헤어 폴리젠 플러스 샴푸 500ml x 2p + 100ml 1세트,샴푸,27780,https://link.coupang.com/a/MFooX,thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7805037747678121-8ef38a29-c4d9-4820-a1da-44f9ad28e5b4.jpg,"닥터포헤어 폴리젠 플러스 샴푸 500ml x 2p + 100ml 1세트솔직후기
#뷰티스타그램<unk></d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데...
그냥 먹는게 아니라 진짜로 맛있는거 같아요.
그래서 이번에 또 먹어봤는데 역시나 달달한 맛이였답니다.
그리고 그 위에 치즈도 같이 올려져 있어서 정말 좋았습니다.
치즈가 들어간건 처음인데...ᄏᄒ.ᅲ;!!
저는 개인적으로 크림파우더를 좋아하는데요~^^ 
크림파이프는 크림이 들어있는 파운데이션이에요.
제가 제일 싫어하는 메뉴인데요
저희는 케이크가 다 들어가있고요,
케익에 있는 건 바로바로 요렇게 생겼네요.?
아무래도 다른 디너와는 다르게, 이렇게 생긴 거라 그런지 더 예쁘고 깔끔하게 잘 포장되어 있었답니다 ~^-"
6,헤드앤숄더 가려운 두피케어 샴푸 1200ml 1개,샴푸,11310,https://link.coupang.com/a/MFopW,thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7976882267109981-fb21e5bf-6c5f-42e4-9508-3725fce72ca5.png,"헤드앤숄더 가려운 두피케어 샴푸 1200ml 1개솔직후기
#두피스추천템<unk></d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데...
그냥 먹는게 아니라 진짜로 맛있는거 같아요.
그래서 이번에 먹어봤는데 정말 잘먹고 있었답니다.
그리고 또 다른건 바로 고구마에요.
저는 고구마를 좋아해서 이렇게 먹을 수 있는 거라고 생각했는데...ᄏᄒ.ᅲ 그래서 고구마도 같이 먹으면 더 좋을 것 같았습니다.
저희는 다들 아시겠지만....ㅠㅠ 
다음에 꼭 먹어야할것 같은데요!
아무튼, 달달한 맛이 일품인 ``오징어가 들어간 오뎅탕수육!??
여기에도 역시나 오징어는 들어있어서
맛있게 드실 수가 있답니당~^^ ;;)
제가 먹은 건 딱히 없었는데, 그래도 엄청 많이 나왔네용 ><///"
7,쿤달 허니 앤 마카다미아 네이처 샴푸 베이비파우더향 1058ml 2개,샴푸,25190,https://link.coupang.com/a/MFoqH,thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/967571812334636-6c4ec601-35cd-4bab-b001-17be6bb4bf31.jpg,"쿤달 허니 앤 마카다미아 네이처 샴푸 베이비파우더향 1058ml 2개솔직후기
#베이비스타그램<unk></d> 오늘은 제가 좋아하는 빵을 소개해드릴게요.
저는 이번에 처음 먹어보는 크림빵이랍니다.
크림치즈케이크가랑 같이 먹으니까 맛있어요.
그리고 치즈가 들어있는 크림이예요.
그런데 너무 달지 않아서 좋았어요!
그래서 저는 케익에 넣어먹었답니다.
제가 먹은건 바로 그거였거든요
아무튼 이렇게 맛있는 디저트도 먹고싶었는데...
오늘의 메뉴를 보니깐, 정말 제 취향이 맞았던 것 같아요.ᄒᄉᄏ.^^ 
여기서는 그냥 초코칩과 초콜릿으로만 만들어봤는데요,
초콜릿이라 그런지, 맛이 아주 진했어요.
맛있게 잘 구워진것 같기도 하고~!?
생각보다 양이 많아서 더 좋아보이는데, 그래도 맛은 좀 있었네"
8,CH6 그리놀 허브 알로포시아 탈모샴푸 그린티우드향 1000ml 2개,샴푸,29800,https://link.coupang.com/a/MForD,thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/812394861115208-ca8d4173-da11-4b25-a68b-29326bf4cb86.jpg,"CH6 그리놀 허브 알로포시아 탈모샴푸 그린티우드향 1000ml 2개솔직후기 등 총 3종으로 구성됐다.
이번 신제품은 기존 제품보다 두피와 모발 건강에 도움을 주는 성분을 강화해 더욱 건강한 머릿결을 만들어준다.
또한 천연 식물성 오일과 비타민C, 미네랄 성분이 함유돼 있어 손상된 머리카락을 재생시켜 준다.
특히 이 제품은 헤어케어 전문 브랜드인 ‘헤라’와의 협업을 통해 탄생한 것이 특징이다.
‘아이오페 헤라(IOPA)’는 국내 최초로 개발한 화장품 원료로, 피부 속부터 탄력을 되찾게 해주는 성분이다.
천연 유래 계면활성제 대신 식물에서 추출하는 바이오 에센셜오일을 사용해 민감한 머리에도 안심하고 사용할 수 있다.
더불어 아로마테라피, 마사지 등의 기능을 갖춘 멀티 케어가 가능한 ‘아쿠아리움’도 함께 선보인다.
신세계백화점 관계자는 “최근 소비자들의 관심이 높아지고 있는 뷰티, 건강 관련 제품을 합리적인 가격에 구매할 기회가 많아졌다”며 “이"
9,케라시스 퍼퓸 체리블라썸 샴푸 1L 3개,샴푸,17190,https://link.coupang.com/a/MFosh,thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8475203990925693-ece47c6d-62d9-4c52-a11e-190b028cf283.jpg,"케라시스 퍼퓸 체리블라썸 샴푸 1L 3개솔직후기
#퍼피추천템<unk></d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데요.
그냥 먹는게 아니라 진짜 맛있는거 같아요
그리고 이번에 먹은건 바로 딸기잼인데요!
딸기쨈도 정말 잘 어울리고~!ᄏᄒ 
저는 딸기를 좋아해서 이렇게 먹어봤는데요,
제가 제일 먼저 먹기 시작한 건데요,,.
크림치즈맛이라서 그런지 더 달달하고 고소했어용^^ ;;)
아무래도 크림 치즈가 들어간것 같아서 좋았구요.?
그래야 맛이 좀 덜한 것 같고..ㅠㅠ,ᅲ.ᅮ...ㅜㅜ.?......♥♡ -
저희집엔 젤로 만든 초콜릿과 함께 먹을 수 있는 쿠키가 있어서 넘나 편하더라고욤:) ><☆★(사진 옆으로 넘겨보기)>
쿠"
