,names,keyword,prices,urls,images,ments
0,쉬즈홈 트루디 아일렛 암막 커튼 2p 세트,암막커튼,26800,https://link.coupang.com/a/MsYLh,thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6497634619555309-4ecdabaa-84b3-443a-9ddb-30b5bfe8147d.jpg,"쉬즈홈 트루디 아일렛 암막 커튼 2p 세트 솔직후기
#아기 <unk>selfie_korea</d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데요.
그냥 먹는게 아니라 직접 만들어먹고싶더라구요!
저는 이번에 처음 먹어보는 과일이라서 더 좋아했어요
그래도 맛은 좋았답니다.
그리고 이렇게 맛있는 디저트를 먹을 수 있는 곳이 있어서
꼭 한번 가보고 싶은 곳이에용!^^ 
오늘의 포스팅으로 소개해드릴 제품은 바로 ``오렌지베리잼과 딸기쨈입니다.
제가 선택한 오렌지베리는 딸기와 함께 먹으면 더욱 좋은데요,
딸기는 정말 달달하고 고소해서 먹기에도 좋고~ᄒᄉ<ᄏ)
크림치즈가 들어가 있어서 씹히는 맛이 아주 좋습니다.
또한 베리맛에 초콜릿맛이 가미되어 있는데...
초콜릿맛을 느낄 수가 없어서 그런지 잘 안"
1,컬러스토리 아일렛 단열 암막커튼,암막커튼,14900,https://link.coupang.com/a/MsYMn,thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3586130349913272-9aea097c-ee08-4e8c-9b00-015f23d9b76d.jpg,"컬러스토리 아일렛 단열 암막커튼 솔직후기 공모전’을 개최한다고 밝혔다.
공모전은 ‘2018 대한민국 에너지대전’ 기간 중 진행되며, 응모는 오는 7월 1일부터 8월 31일까지 진행된다.
이번 공모에 참여하는 고객은 누구나 참여할 수 있으며, 자세한 내용은 홈페이지를 통해 확인할수 있다.
한편, 이번 행사는 지난해부터 올해로 4회째를 맞이하고 있는 국내 최대 규모의 전력산업 전시회다.
올해는 총 3000여개 기업이 참가하며, 약 1만5,000명의 관람객이 방문할 것으로 예상된다.</d> 한국거래소는 코스피200선물 12월물의 거래량이 전월 대비 6% 감소했다고 1일 발표했다.
코로나19 확산으로 인한 글로벌 경기 둔화 우려로 인해 투자심리가 위축됐기 때문으로 풀이된다.
지난달에는 미국 연방준비제도(Fed·연준)의 기준금리 인상이 지연되면서 변동성이 확대됐다.
이에 따라 선물가격도 하락했다.
미국의 금리 인상 기대가 낮아지면서 달러-원 환율은 전일대비 5.80"
2,코멧 홈 단열 아일렛 암막 커튼,암막커튼,9990,https://link.coupang.com/a/MsYNr,thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6776469429170808-b9f2a76d-3d83-4e33-ab70-cdaf2423c9ac.jpg,"코멧 홈 단열 아일렛 암막 커튼 솔직후기’ 이벤트를 진행한다.
이번 행사는 오는 30일까지 진행된다.
참가 신청은 이메일(smartkorea<unk>naver.com)로 하면 된다.
당첨자는 다음달 1일 발표된다.
한편 ‘2018 대한민국 에너지대전’은 산업통상자원부가 주최하고 한국에너지공단이 주관하는 행사로 올해로 3회째를 맞았다.</d> 지난해 12월 31일부터 내년 1월 2일 사이에 서울 강남과 서초, 송파 등 3개 지역에서 분양되는 아파트는 모두 1만2천여 가구에 달합니다.
분양가는 3.3m2 당 평균 1천500만 원 선으로 책정될 예정입니다.
서울시는 ""강남권 재건축 단지의 경우 일반 아파트보다 상대적으로 저렴한 가격에 공급할 수 있어 실수요자들의 관심이 높다""고 설명했습니다.
또 다른 인기 지역인 강동구 고덕주공, 서초구 반포동 주공고 등은 주변 시세의 80% 수준에서 분양을 받을 것으로 보입니다.
반면 은평구 진관내동, 강남구 역삼동의 경우에는 시세 대비 60"
3,알뜨리 방풍 방한 사계절 3중직 암막커튼,암막커튼,24000,https://link.coupang.com/a/MsYOc,thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4003006726146922-8a1c7526-6f32-4f2a-b0c4-0d72f79cb990.jpg,"알뜨리 방풍 방한 사계절 3중직 암막커튼 솔직후기’를 모집한다.
이번 행사는 ‘2018 평창 동계올림픽’ 개막을 앞두고 열리는 것으로, 오는 8월 31일까지 진행되며, 참가비는 무료다.
참가 신청은 이메일(kr<unk>hanmail.net)로 하면 된다.
자세한 내용은 공식 홈페이지(www.koreaworldcup.kr)를 통해 확인할 수 있다.</d> 한국관광공사는 지난해 12월 한 달간 한국을 찾은 외국인 관광객을 대상으로 실시한 설문조사에서 응답자의 80%가 '한국에 대한 호감'을 갖고 있는 것으로 나타났다고 1일 밝혔다.
이는 전년 동기 대비 16% 증가한 수치로, 올 들어서도 1월과 2월 각각 21%, 22%의 높은 증가율을 기록했다.
특히, 중국인 관광객의 경우 작년에 비해 20% 이상 늘어난 수치를 보였다.
이에 따라 관광공사 측은 ""지난달에는 중국인들이 한국에 대해 긍정적인 평가를 하고 있다""며 ""이러다 보니 국내 여행업계에서도 이에 부응하기 위해 다양한 마케팅 활동을 펼치고 있어 앞으로도 지속적인 성장"
4,까르데코 디망쉬 암막커튼,암막커튼,23990,https://link.coupang.com/a/MsYO1,thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3737738207375089-80a454aa-e212-4975-8963-942162ce9fc9.jpg,"까르데코 디망쉬 암막커튼 솔직후기
#디움 <unk>dmsgcorp.co.kr</d> 오늘은 제가 좋아하는 빵집인 ``아빠가 만든 수제빵이랑 함께한 저녁식사!!
오랜만에 먹으니까 너무 맛있어서 좋았어요~^^ 
오늘도 아저씨께서 직접 만들어주신 크림치즈케이크와 치즈를 한입에 먹기 좋게 잘라서 드셔보셨는데요.
크림치는 정말 부드럽고 달달해서 넘나 좋아하더라구요
그리고 저는 이번에 처음 먹어보는 크림이였어요.
저는 그냥 생딸기맛이라 그런지 딸기맛이 더 강했거든요..
생 딸기는 진짜 잘 익었네용ᄏᄒ..ㅠㅠㅜㅜ ;;)
그런데, 이렇게 맛있는 케익과 같이 먹으면 더욱 맛이 좋을 것 같아서
먹다보니 또 다른 맛을 느낄 수 있었답니다....ᅲᅮ^/// 그래도 역시"
5,코멧 홈 단열 아일렛 암막 커튼 2개입,암막커튼,18900,https://link.coupang.com/a/MsYQa,thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5973862059647753-3ddca493-ad58-4715-90de-77fab74a82da.jpg,"코멧 홈 단열 아일렛 암막 커튼 2개입 솔직후기
이번에는 #아이스쿨링 가방<unk></d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵에 들어가는 재료들이 너무 많아서 그런지 맛있더라구요.
그래서 저는 이번에 꼭 먹어보고 싶었던 과일들!
과일도 먹고싶고.
그리고 또 다른 포스팅으로 <<과자의 달인>! 와~^^ 
오늘의 주인공은 바로 ``와우바베크림치즈칩스틱>
저는 요거트맛있게 잘먹어봤는데요..ᄏᄒ.ᅲ;)
그런데 진짜 치즈가 많이 들어가 있어서 아쉬웠거든요.ㅠㅠ ;수 그래도 역시나 크림치는 정말 부드럽고 고소해서 좋았답니다.
제가 먹은게 아니라 그냥 먹는걸로 봐서는 더 맛있는 것 같아요
(사실 그건 아니었지만...) 그래서 이렇게 포장되어있는 제품들도 있었네용 >_-^ -
저"
6,뷰하우스 메이즈 원톤 암막커튼 2p + 봉 세트,암막커튼,51600,https://link.coupang.com/a/MsYRk,thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4613152433106695-815f41a8-78e4-4fd9-a665-44d026b1c675.jpg,"뷰하우스 메이즈 원톤 암막커튼 2p + 봉 세트 솔직후기
#봉세라떼 <unk>salada_official</d> 오늘은 제가 좋아하는 빵집인 ``아빠가 만든 수제빵이랑 함께한 저녁식사!!
오랜만에 먹으니까 너무 맛있어서 좋았어요~^^ 
오늘도 아저씨께서 직접 만들어주신 크림치즈와 치즈가 가득 담긴 크림이 나왔어요.
크림치는 달달하고 고소한 맛이 일품이라서 넘나 좋아하셨는데...
그런데 이게 진짜 꿀맛이었네요.
그리고 저는 그걸로 또 먹고 싶었거든요.ᄏᄒ;)
저는 개인적으로 제 입에서 제일 먼저 나오는 건 바로 딸기잼인데...ㅠㅠ 그래서 딸기를 넣은 케이크를 주문했답니다.
딸기쨈을 다 먹은 후엔, 그냥 초콜릿으로 마무리했어요.
제가 선택한건 역시 마카롱이에요.
마카로니 안에 들어있는 코코넛"
7,사라하우스 99.99% 암막커튼,암막커튼,33400,https://link.coupang.com/a/MsYSl,thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3727867055276090-39c63787-8d21-4b69-98f2-647c20f6ee26.jpg,"사라하우스 99.99% 암막커튼 솔직후기’ 이벤트를 진행한다.
이벤트 기간 동안 ‘암막이 커버된 후’를 댓글로 남기면 추첨을 통해 총 100명에게 스타벅스 아메리카노 기프티콘, 영화예매권 등 다양한 경품을 증정할 예정이다.
또한 이벤트 참여자 중 선착순 300명에게는 커피빈 모바일 쿠폰도 제공한다.
스타필드 하남은 오는 31일까지 신세계백화점 본점과 강남점, 영등포점에서 각각 팝업스토어를 운영한다.</d> 지난해 12월 말 기준 국내 은행의 원화대출 연체율은 1.7%로 전년 동월 대비 0.06%, 1년 전과 비교해 0.14%가 상승했다.
이는 글로벌 금융위기 이후 가장 높은 수준이다.
은행권의 가계 대출 증가세가 둔화된 가운데 주택담보대출을 중심으로 한 기업들의 부실채권 정리 노력과 저금리 장기화에 따른 이자수익 감소 등으로 은행들이 수익성 악화를 감내하기 어려운 상황으로 풀이된다.
특히 중소기업의 경우 대기업보다 상대적으로"
8,쉬즈홈 트루디 아일렛 암막 커튼 1p,암막커튼,20900,https://link.coupang.com/a/MsYTl,thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6061196159085367-a5fe1c66-bb50-457f-a3c2-dc3b868600d9.jpg,"쉬즈홈 트루디 아일렛 암막 커튼 1p 솔직후기
#아기 <unk>selfie_korea</d> 오늘은 제가 좋아하는 과자랑 빵을 먹었어요.
빵이 너무 맛있어서 저는 그냥 먹고 싶었는데요.
그냥 먹는게 아니라 직접 만들어먹고싶더라구요!
저는 이번에 처음 먹어보는 과일이라서 더 좋아했어요
그래도 맛은 좋았답니다.
그리고 이렇게 맛있는 디저트까지 다 먹을 수 있어서 정말 행복했어요.
오늘의 포스팅은, 바로 ‘과일맛집’입니다.
과일은 달콤하고 고소해서 먹기 좋은데요,
달콤한 맛이 일품이에요.
특히나 딸기맛이 나는 케이크가 참 매력적이에요.
딸기는 원래 딸기가 많이 들어있는 편인데요,,~^^ 
케익에 있는 방울토마토와 함께 먹으면 더욱 좋을 것 같아요..
제가 제일 먼저 먹은 건 역시 초콜릿이었습니다.
초콜릿에는 비타민C 성분이 함유되어 있는데다, 단맛을 내는 성분들이 많아서"
9,더자리 솔리드 핀형 암막커튼 2p 세트,암막커튼,28800,https://link.coupang.com/a/MsYUv,thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4012056724912129-8dc60c13-2c66-4fa7-822c-ad854c5f470e.jpg,"더자리 솔리드 핀형 암막커튼 2p 세트 솔직후기
솔직한 후기였습니다
암막이 커팅된 후 바로 사용가능하고요
이제 막 스킨케어 시작을 했으니까요~!
스틱으로 피부톤과 톤에 맞춰서 발라주시면 되는데요.
피부결 정돈은 물론 얼굴 전체에 골고루 펴발라줘서
피부에 영양공급도 되고 보습력도 좋아져용 :) 
#뷰티스타그램 에서 구매할 수 있는 제품이에요..
저는 이 제품을 사용해보고 싶었거든요,,ᄒ</d> 오늘 아침부터 너무 추워서 잠 못자고 있었어요.
오늘 아침에 일어나보니 정말 춥더라고요,
그래서, 어제 저녁 일찍 일어났는데 갑자기 눈이 와서 잠을 제대로 이루지 못했답니다.
아침에 눈을 뜨니 벌써 눈물이 핑 돌았네요?
눈물 때문에 자꾸만 울고 있는데..ᅲᅮᄏ; ;)
어제 저녁에 일어난건데... 왜 이렇게 추운지 모르겠습니다.
눈이 많이 왔"
